Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Smp_Reward_Mean          Smp_Reward_Std           Sds_Loss_Mean            Sds_Loss_Std             Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.003234134250217014     131072                   0.0                      16.648435592651367       5723                     0.0                      16.636751174926758       5627                     0.07216818630695343      0.00811835192143917      0.06171722337603569      1.0008898973464966       0.0                      0.10369262099266052      0.27040791511535645      0.06184558942914009      0.15917567908763885      2.3174071311950684       1.6468505859375          0.41904178261756897      0.5625333786010742       1.0                      
100                      0.14459383679760826      13238272                 0.0                      20.175914764404297       6867                     0.0                      19.65913963317871        664310                   0.03786077722907066      -0.00766079593449831     0.10121612995862961      0.999813973903656        0.0                      -0.011889897286891937    0.1963062882423401       0.1528742015361786       0.2554333508014679       1.6789406538009644       1.1888409852981567       0.3958628177642822       0.5141089558601379       1.0                      
200                      0.28702455083529155      26345472                 0.0                      24.518951416015625       26786                    0.0                      23.15066146850586        563529                   0.0955122858285904       -0.006905862595885992    0.10037078708410263      1.000167727470398        0.0                      -0.004860725253820419    0.3115636110305786       0.16917607188224792      0.2574620246887207       1.3419663906097412       1.1335840225219727       0.38843488693237305      0.5139146447181702       1.0                      
300                      0.4279528326458401       39452672                 0.0                      28.27651023864746        14213                    0.0                      27.153825759887695       480362                   0.14280295372009277      -0.0054205176420509815   0.12251739948987961      1.0003575086593628       0.0                      -0.0068679796531796455   0.3802470862865448       0.17574764788150787      0.2582688629627228       1.175621747970581        1.0655090808868408       0.380087673664093        0.5249810218811035       1.0                      
400                      0.5681496285729938       52559872                 0.0                      30.59326171875           6739                     0.0                      31.130414962768555       418656                   0.24075210094451904      -0.005036404822021723    0.10894012451171875      0.9995104074478149       0.0                      -0.0005036047659814358   0.4925951659679413       0.18520623445510864      0.2544746696949005       1.0907871723175049       1.1178549528121948       0.3752143979072571       0.5464738607406616       1.0                      
500                      0.7091126028696696       65667072                 0.0                      35.56490707397461        12427                    0.0                      33.49170684814453        388922                   0.4217167794704437       -0.00423487089574337     0.11300506442785263      0.9997949004173279       9.526017379357654e-07    0.015151112340390682     0.651421070098877        0.20261849462985992      0.25180625915527344      0.9660741090774536       1.0757724046707153       0.374054878950119        0.5728696584701538       1.0                      
600                      0.8523682670460807       78774272                 0.0                      56.84398651123047        18441                    0.0                      38.804134368896484       334817                   0.7882106900215149       -0.003699110820889473    0.11547088623046875      1.000207543373108        3.421904693823308e-05    0.009439890272915363     0.8900237083435059       0.18193501234054565      0.22270330786705017      0.8523135185241699       0.9695191383361816       0.3740862011909485       0.599428653717041        1.0                      
700                      0.9947804449664222       91881472                 0.0                      249.2332305908203        4219                     0.0                      67.22598266601562        188600                   1.3292007446289062       -0.0038731673266738653   0.119659423828125        0.9997420310974121       3.8124413549667224e-05   0.04189161956310272      1.1551344394683838       0.11249470710754395      0.13331547379493713      0.6920959949493408       0.6338934898376465       0.3732742369174957       0.6256912350654602       1.0                      
800                      1.1359892716672686       104988672                0.0                      270.25048828125          4144                     0.0                      214.25267028808594       58400                    0.670639157295227        -0.016196362674236298    0.12225800007581711      1.000208854675293        3.5306697100168094e-05   0.044094108045101166     0.8194149732589722       0.14362478256225586      0.1028342917561531       0.4326457381248474       0.223582461476326        0.3722383379936218       0.6431542038917542       1.0                      
900                      1.2755303432544072       118095872                0.0                      269.6359558105469        4137                     0.0                      259.03656005859375       48299                    0.4193350672721863       -0.013675478287041187    0.14363861083984375      0.9998980760574341       5.290186527417973e-05    0.013201283290982246     0.648581326007843        0.16310928761959076      0.08413143455982208      0.3586542010307312       0.15296758711338043      0.3722383379936218       0.6431542038917542       1.0                      
