Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Smp_Reward_Mean          Smp_Reward_Std           Sds_Loss_Mean            Sds_Loss_Std             Sim_Recording            Obs_Norm_Mean            Obs_Norm_Std             
6000                     8.360564271608988        786563072                488.13702392578125       592.072509765625         4097                     469.9783630371094        574.6287841796875        43140                    4.880953788757324        -0.02507675066590309     0.1152496337890625       1.000571608543396        4.677901870309142e-06    -0.023532796651124954    2.2161619663238525       0.4007091224193573       0.2656267285346985       1.6529431343078613       2.7322378158569336       0.4041995108127594       0.5612525343894958       1.0                      
6200                     8.63233686361048         812777472                485.7439270019531        590.1332397460938        4098                     470.3857116699219        574.8607788085938        43123                    4.5823235511779785       -0.024083327502012253    0.10384216159582138      0.9999561309814453       3.4045640404656297e-06   -0.04504130408167839     2.157963752746582        0.40415552258491516      0.2674514353275299       1.620429515838623        2.6831929683685303       0.4041995108127594       0.5612525343894958       1.0                      
6400                     8.90517218861315         838991872                486.5196838378906        591.0390625              4097                     469.6558837890625        574.5904541015625        43142                    4.05280065536499         -0.022301221266388893    0.10545501857995987      0.9996207356452942       4.841460850002477e-06    0.04200725257396698      2.0213305950164795       0.410637229681015        0.2647054195404053       1.5533993244171143       2.630108594894409        0.4041995108127594       0.5612525343894958       1.0                      
6600                     9.177779041396247        865206272                486.8950500488281        591.7835693359375        4098                     470.0113220214844        574.566650390625         43178                    5.200291156768799        -0.02622276358306408     0.10043945163488388      1.0007022619247437       2.9364834972511744e-06   0.002834348939359188     2.29502272605896         0.41473326086997986      0.26064392924308777      1.4486589431762695       2.475780487060547        0.4041995108127594       0.5612525343894958       1.0                      
6800                     9.45050463411543         891420672                488.28082275390625       593.0132446289062        4096                     471.27386474609375       575.9570922851562        43028                    3.939324140548706        -0.021405495703220367    0.10113983601331711      1.0000340938568115       4.286042440071469e-06    0.01690133661031723      1.9944100379943848       0.4189561903476715       0.26201292872428894      1.436931848526001        2.477632999420166        0.4041995108127594       0.5612525343894958       1.0                      
7000                     9.723072915739483        917635072                488.12640380859375       592.91162109375          4096                     471.4391174316406        575.8463745117188        43078                    4.458374500274658        -0.022694656625390053    0.09697113186120987      1.000726580619812        2.715047912715818e-06    0.02914341166615486      2.1177420616149902       0.426869660615921        0.2609040141105652       1.3726706504821777       2.405198812484741        0.4041995108127594       0.5612525343894958       1.0                      
7200                     9.996669750346078        943849472                488.2615661621094        593.105712890625         4096                     471.188720703125         575.6590576171875        43077                    4.4320387840271          -0.023443056270480156    0.09418640285730362      1.000902771949768        1.8510971813157084e-06   -0.0005399389192461967   2.110039234161377        0.4296448826789856       0.261240690946579        1.3616724014282227       2.39296817779541         0.4041995108127594       0.5612525343894958       1.0                      
7400                     10.269532183607419       970063872                487.97052001953125       592.5913696289062        4097                     470.8427734375           574.6744995117188        43170                    3.3206653594970703       -0.01702101156115532     0.11698760837316513      1.000169038772583        1.7040614466168336e-06   0.09908957779407501      1.8352406024932861       0.4321776032447815       0.2603530287742615       1.3329412937164307       2.3577256202697754       0.4041995108127594       0.5612525343894958       1.0                      
7600                     10.542700374325117       996278272                488.56787109375          593.3356323242188        4097                     470.1274719238281        573.7681274414062        43283                    5.678564548492432        -0.02862474136054516     0.0944976806640625       1.0007216930389404       3.539861154422397e-06    -0.009641826152801514    2.387538194656372        0.43506479263305664      0.26220017671585083      1.335545539855957        2.39040470123291         0.4041995108127594       0.5612525343894958       1.0                      
7800                     10.816002360648579       1022492672               487.1767578125           591.937255859375         4096                     469.4197998046875        573.2240600585938        43302                    4.87150764465332         -0.0250791497528553      0.09463806450366974      1.0003947019577026       5.388435511122225e-06    -0.021564241498708725    2.211552143096924        0.4383558928966522       0.259026437997818        1.2800122499465942       2.3026866912841797       0.4041995108127594       0.5612525343894958       1.0                      
8000                     11.090469779173533       1048707072               484.992919921875         589.4561157226562        4102                     469.0352478027344        572.3218994140625        43360                    4.370489120483398        -0.02425709366798401     0.10809021443128586      1.0002785921096802       2.425747197776218e-06    0.06545166671276093      2.0957319736480713       0.4410364627838135       0.2608473598957062       1.257826566696167        2.257418155670166        0.4041995108127594       0.5612525343894958       1.0                      
8200                     11.365054153402646       1074921472               486.6533203125           590.6240234375           4096                     466.9635925292969        570.1654052734375        43568                    6.4177446365356445       -0.03301488980650902     0.09881591796875         1.0007084608078003       2.198772108386038e-06    -0.03107537515461445     2.541872262954712        0.4410470128059387       0.2588711082935333       1.261993408203125        2.3112165927886963       0.4041995108127594       0.5612525343894958       1.0                      
8400                     11.639647572106785       1101135872               488.14715576171875       593.3109741210938        4097                     469.1865234375           572.8704833984375        43332                    5.080022811889648        -0.027381762862205505    0.09421234577894211      1.000757098197937        6.710305115120718e-06    -0.010419534519314766    2.2600533962249756       0.4398607611656189       0.2607136070728302       1.2601990699768066       2.2906248569488525       0.4041995108127594       0.5612525343894958       1.0                      
8600                     11.913502832916048       1127350272               487.5500793457031        593.2636108398438        4097                     470.2931823730469        574.027099609375         43222                    4.621267795562744        -0.02525879256427288     0.09402924031019211      1.000217318534851        7.4925587796315085e-06   0.004924602806568146     2.1596872806549072       0.4489424526691437       0.25971105694770813      1.176168441772461        2.1638379096984863       0.4041995108127594       0.5612525343894958       1.0                      
8800                     12.187543328669337       1153564672               488.5941467285156        593.9111938476562        4097                     469.5162048339844        573.6196899414062        43254                    6.037048816680908        -0.03187697380781174     0.08246307820081711      1.001294732093811        2.740551281021908e-06    -0.02044859528541565     2.4655232429504395       0.4573656916618347       0.2591267228126526       1.1449401378631592       2.1444432735443115       0.4041995108127594       0.5612525343894958       1.0                      
9000                     12.461658266981443       1179779072               488.0648498535156        593.236328125            4096                     469.61181640625          573.7186279296875        43287                    5.245906352996826        -0.028007930144667625    0.08847808837890625      1.0007089376449585       7.97680149844382e-06     0.015192381106317043     2.295936107635498        0.4559352993965149       0.2576298415660858       1.1147096157073975       2.0721871852874756       0.4041995108127594       0.5612525343894958       1.0                      
9200                     12.736232785516314       1205993472               488.6943054199219        593.6119384765625        4097                     468.8505554199219        572.4556884765625        43371                    5.602634906768799        -0.026680832728743553    0.08730774372816086      1.0010656118392944       1.4801167935729609e-06   0.02488062158226967      2.3750979900360107       0.460985392332077        0.2557656168937683       1.0499112606048584       1.9754619598388672       0.4041995108127594       0.5612525343894958       1.0                      
9400                     13.011478943626086       1232207872               488.3321533203125        594.08740234375          4097                     469.5815124511719        573.3336181640625        43311                    4.348309516906738        -0.02205667831003666     0.10467987507581711      1.0001863241195679       2.091260284942109e-06    0.02389434352517128      2.092865467071533        0.45629072189331055      0.25889304280281067      1.103289008140564        2.073853015899658        0.4041995108127594       0.5612525343894958       1.0                      
9600                     13.285096080236965       1258422272               488.59490966796875       594.1244506835938        4097                     471.5055236816406        576.149169921875         43049                    4.540801048278809        -0.02329878881573677     0.09012756496667862      1.0008344650268555       2.4327744085894665e-06   0.007199603132903576     2.135500907897949        0.46109187602996826      0.259406179189682        1.0806865692138672       2.0424609184265137       0.4041995108127594       0.5612525343894958       1.0                      
9800                     13.558919451170498       1284636672               487.09820556640625       592.958984375            4098                     469.4437561035156        573.9656372070312        43240                    6.243577480316162        -0.03133802115917206     0.08855743706226349      1.0013951063156128       2.9111458843544824e-06   -0.03275241330265999     2.505347728729248        0.4649989604949951       0.25702163577079773      1.0375230312347412       1.9956053495407104       0.4041995108127594       0.5612525343894958       1.0                      
10000                    13.832601090603404       1310851072               486.2656555175781        591.4730224609375        4097                     471.0354919433594        575.7444458007812        43063                    4.056296348571777        -0.01995638757944107     0.10099335014820099      1.0003923177719116       3.4831639368348988e-06   0.0023288619704544544    2.0181543827056885       0.46581315994262695      0.2579839825630188       1.0349689722061157       1.9792550802230835       0.4041995108127594       0.5612525343894958       1.0                      
10200                    14.108296039832963       1337065472               487.1439208984375        592.5824584960938        4098                     471.766357421875         576.3079833984375        43021                    4.343879699707031        -0.022602207958698273    0.09499664604663849      1.0004370212554932       2.2841441023047082e-06   -0.02210291475057602     2.0875957012176514       0.4696166515350342       0.26017048954963684      1.0023350715637207       1.925454020500183        0.4041995108127594       0.5612525343894958       1.0                      
