Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Smp_Reward_Mean          Smp_Reward_Std           Sds_Loss_Mean            Sds_Loss_Std             Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
2500                     3.601657739546564        327811072                451.0120849609375        567.190673828125         4107                     416.8104553222656        547.5849609375           22479                    8.887215614318848        -0.023751843720674515    0.12363739311695099      1.0006020069122314       3.1551205665891757e-06   -0.4969725012779236      2.969573974609375        0.3374377191066742       0.11498048156499863      0.37706220149993896      0.19445562362670898      0.33357593417167664      0.4347836673259735       1.0                      
2600                     3.7429780274629594       340918272                446.3626708984375        562.9368896484375        4118                     421.1382141113281        550.6842041015625        22361                    9.722681999206543        -0.02513887919485569     0.11821746826171875      1.000319242477417        9.686487828730606e-06    -0.5139075517654419      3.1266517639160156       0.34480586647987366      0.11643429845571518      0.3708826005458832       0.20418837666511536      0.33357593417167664      0.4347836673259735       1.0                      
2700                     3.884723095364041        354025472                448.9764099121094        566.755859375            4113                     423.6822509765625        552.5211791992188        22270                    9.394621849060059        -0.02299235761165619     0.12514649331569672      1.000286340713501        7.164185262809042e-06    -0.5893384218215942      3.0776920318603516       0.35251787304878235      0.1160871684551239       0.36117932200431824      0.1806112378835678       0.33357593417167664      0.4347836673259735       1.0                      
2800                     4.025695719056659        367132672                457.61712646484375       568.6397094726562        4108                     427.9171447753906        555.3607788085938        22160                    9.586101531982422        -0.02354949340224266     0.12365112453699112      1.0008621215820312       3.8761327232350595e-06   -0.5819720029830933      3.081007242202759        0.35535910725593567      0.11720950901508331      0.3586113452911377       0.18898218870162964      0.33357593417167664      0.4347836673259735       1.0                      
2900                     4.166420605712466        380239872                456.8739318847656        568.5673217773438        4107                     431.1993713378906        556.3564453125           22127                    9.414945602416992        -0.022250225767493248    0.144450381398201        1.0008459091186523       4.699867986346362e-06    -0.5630596876144409      3.0835273265838623       0.35755497217178345      0.1181589663028717       0.3581045866012573       0.19879594445228577      0.33357593417167664      0.4347836673259735       1.0                      
3000                     4.307401446965006        393347072                459.1044006347656        569.6156005859375        4108                     428.7945251464844        556.5398559570312        22119                    8.174436569213867        -0.022052045911550522    0.13347473740577698      1.0004969835281372       4.214305135974428e-06    -0.5113512277603149      2.8787875175476074       0.36134427785873413      0.12145586311817169      0.3558587431907654       0.19276957213878632      0.33357593417167664      0.4347836673259735       1.0                      
3100                     4.446470760967997        406454272                462.91632080078125       573.5906982421875        4107                     434.0360412597656        561.615234375            21906                    8.795778274536133        -0.02301299013197422     0.12445068359375         1.000209927558899        4.999972588848323e-06    -0.6189579963684082      2.9702796936035156       0.36706167459487915      0.1221049427986145       0.3486921787261963       0.18157419562339783      0.33357593417167664      0.4347836673259735       1.0                      
3200                     4.586029331882795        419561472                460.5308837890625        573.0372924804688        4102                     437.2558288574219        561.9913330078125        21881                    8.764904022216797        -0.022210650146007538    0.13069000840187073      1.0007121562957764       4.769878614752088e-06    -0.560803234577179       2.964090585708618        0.3722769618034363       0.11971690505743027      0.3412957787513733       0.18406127393245697      0.33357593417167664      0.4347836673259735       1.0                      
3300                     4.725093752410677        432668672                462.45281982421875       573.54150390625          4105                     435.87127685546875       559.7130126953125        21984                    9.205215454101562        -0.021223869174718857    0.12799683213233948      1.0000662803649902       7.3413220889051445e-06   -0.6050119400024414      3.0166475772857666       0.3772982060909271       0.12240230292081833      0.3392300009727478       0.19636735320091248      0.33357593417167664      0.4347836673259735       1.0                      
3400                     4.8646727327505745       445775872                462.7658386230469        572.8984375              4107                     438.3700866699219        561.3023681640625        21907                    9.28097152709961         -0.022252250462770462    0.13562928140163422      1.0003498792648315       6.196380127221346e-06    -0.59852135181427        3.053327798843384        0.38083547353744507      0.1236603781580925       0.3391835391521454       0.22711442410945892      0.33357593417167664      0.4347836673259735       1.0                      
